rank,dataset_index,true_label,predicted_label,cat_similarity,dog_similarity,cat_dog_margin,is_true_cat
569,3783,bird,deer,0.262613,0.254583,0.008030,False
576,4315,frog,dog,0.262481,0.272546,-0.010065,False
583,8296,dog,cat,0.262275,0.248445,0.013830,False
586,7403,deer,deer,0.262218,0.268396,-0.006178,False
590,2580,frog,cat,0.262130,0.243329,0.018802,False
595,9870,bird,bird,0.262022,0.255645,0.006377,False
611,4795,dog,cat,0.261800,0.264654,-0.002854,False
615,8375,deer,deer,0.261685,0.249857,0.011829,False
622,4740,dog,cat,0.261483,0.253248,0.008236,False
623,3174,bird,cat,0.261470,0.270151,-0.008681,False
627,8266,dog,dog,0.261331,0.271949,-0.010618,False
633,1337,dog,cat,0.261179,0.272482,-0.011304,False
640,2005,dog,dog,0.261067,0.275681,-0.014615,False
647,7988,frog,cat,0.260956,0.256288,0.004668,False
648,5443,frog,cat,0.260924,0.260471,0.000453,False
655,5177,deer,cat,0.260746,0.243157,0.017588,False
662,6387,bird,deer,0.260565,0.260746,-0.000181,False
668,3899,frog,cat,0.260369,0.254719,0.005650,False
671,461,frog,cat,0.260247,0.248114,0.012132,False
672,4699,dog,cat,0.260244,0.260748,-0.000504,False
676,8187,dog,dog,0.260078,0.284665,-0.024587,False
677,2423,bird,cat,0.260007,0.266933,-0.006926,False
688,5862,bird,cat,0.259707,0.254776,0.004931,False
691,6586,frog,cat,0.259674,0.245200,0.014474,False
703,9551,dog,cat,0.259409,0.248909,0.010500,False
705,3558,dog,dog,0.259369,0.275908,-0.016540,False
708,7299,frog,cat,0.259292,0.234373,0.024919,False
709,1908,dog,cat,0.259239,0.259568,-0.000329,False
710,4263,frog,cat,0.259229,0.245625,0.013604,False
712,2065,bird,horse,0.259216,0.276910,-0.017695,False
713,6197,deer,cat,0.259155,0.264577,-0.005422,False
718,7334,dog,dog,0.258998,0.275564,-0.016566,False
722,7256,deer,deer,0.258828,0.254267,0.004560,False
724,9903,frog,cat,0.258638,0.260411,-0.001773,False
