rank,dataset_index,true_label,predicted_label,cat_similarity,dog_similarity,cat_dog_margin,is_true_cat
279,4375,cat,cat,0.270127,0.236803,0.033324,True
280,1163,cat,cat,0.270076,0.247824,0.022253,True
281,8580,cat,cat,0.270035,0.253101,0.016934,True
282,5497,cat,cat,0.270026,0.246400,0.023626,True
283,7283,cat,cat,0.269988,0.245501,0.024486,True
284,7016,cat,cat,0.269951,0.268370,0.001581,True
285,8433,cat,cat,0.269941,0.258737,0.011204,True
286,4391,cat,cat,0.269937,0.247306,0.022631,True
287,8632,cat,cat,0.269917,0.261719,0.008199,True
288,3353,cat,cat,0.269912,0.233974,0.035938,True
289,6893,cat,cat,0.269867,0.241691,0.028176,True
290,1445,cat,cat,0.269774,0.250593,0.019181,True
291,8012,cat,cat,0.269759,0.218709,0.051050,True
292,1909,cat,cat,0.269724,0.231326,0.038399,True
293,9648,cat,cat,0.269679,0.242959,0.026720,True
294,819,cat,cat,0.269652,0.241608,0.028044,True
295,5940,horse,horse,0.269594,0.257632,0.011962,False
296,3787,cat,cat,0.269580,0.239207,0.030373,True
297,6898,cat,cat,0.269575,0.256848,0.012727,True
298,4407,cat,cat,0.269511,0.258539,0.010973,True
299,9141,cat,cat,0.269510,0.242443,0.027067,True
300,8617,cat,cat,0.269464,0.271099,-0.001635,True
301,4093,cat,cat,0.269460,0.233785,0.035674,True
302,3572,cat,cat,0.269438,0.240451,0.028988,True
303,1065,cat,cat,0.269336,0.255049,0.014287,True
304,3190,cat,cat,0.269298,0.246564,0.022734,True
305,2646,cat,cat,0.269291,0.233930,0.035361,True
306,3796,dog,cat,0.269276,0.273028,-0.003752,False
307,3700,cat,cat,0.269213,0.226427,0.042786,True
308,9678,cat,cat,0.269211,0.251011,0.018201,True
309,565,cat,cat,0.269199,0.235672,0.033527,True
310,1373,cat,cat,0.269171,0.271718,-0.002547,True
311,3628,cat,cat,0.269149,0.276135,-0.006986,True
312,8739,cat,cat,0.269135,0.232672,0.036463,True
313,4682,cat,cat,0.269124,0.249209,0.019915,True
314,9961,cat,cat,0.269099,0.236375,0.032723,True
315,6467,cat,cat,0.269097,0.275119,-0.006021,True
316,690,cat,cat,0.269086,0.249529,0.019557,True
317,2243,cat,cat,0.269081,0.244072,0.025009,True
318,8224,cat,cat,0.269067,0.241431,0.027636,True
319,2952,cat,cat,0.269046,0.249721,0.019326,True
320,6203,cat,cat,0.269034,0.245466,0.023568,True
321,9666,cat,cat,0.269001,0.237082,0.031919,True
322,5655,cat,cat,0.268991,0.249013,0.019978,True
323,8755,frog,cat,0.268981,0.256643,0.012337,False
324,6575,cat,cat,0.268978,0.235606,0.033372,True
325,1024,cat,cat,0.268945,0.250905,0.018040,True
326,3884,cat,cat,0.268945,0.248107,0.020838,True
327,4808,cat,cat,0.268927,0.258093,0.010834,True
328,9121,cat,cat,0.268923,0.243809,0.025115,True
329,1660,cat,cat,0.268916,0.236493,0.032423,True
330,2178,cat,cat,0.268885,0.246890,0.021996,True
331,9454,cat,cat,0.268873,0.234466,0.034407,True
332,5306,cat,cat,0.268860,0.241313,0.027546,True
333,7979,cat,cat,0.268824,0.252713,0.016110,True
334,2068,cat,cat,0.268811,0.239979,0.028831,True
335,5943,cat,cat,0.268741,0.237220,0.031520,True
336,715,cat,cat,0.268740,0.277548,-0.008808,True
337,6698,cat,cat,0.268618,0.243788,0.024830,True
338,2044,cat,cat,0.268611,0.231423,0.037188,True
339,7074,cat,cat,0.268557,0.240366,0.028191,True
340,2871,cat,cat,0.268543,0.231915,0.036629,True
341,786,cat,cat,0.268539,0.243716,0.024822,True
342,4996,cat,cat,0.268529,0.243401,0.025127,True
343,7131,frog,cat,0.268485,0.241428,0.027057,False
344,599,cat,cat,0.268474,0.252208,0.016266,True
345,2972,cat,cat,0.268472,0.240942,0.027530,True
346,1280,cat,cat,0.268469,0.244200,0.024269,True
347,4914,cat,cat,0.268437,0.239592,0.028845,True
348,7865,cat,cat,0.268426,0.231300,0.037126,True
349,2162,dog,cat,0.268366,0.270501,-0.002135,False
350,7275,cat,cat,0.268360,0.244857,0.023503,True
351,4561,cat,cat,0.268355,0.249654,0.018701,True
352,4936,cat,cat,0.268265,0.243153,0.025112,True
353,4785,cat,cat,0.268257,0.233403,0.034854,True
354,9109,cat,cat,0.268236,0.243390,0.024846,True
355,1014,cat,cat,0.268172,0.242054,0.026118,True
356,673,cat,cat,0.268163,0.234601,0.033561,True
357,5148,cat,cat,0.268128,0.266557,0.001571,True
358,6873,cat,cat,0.268103,0.262446,0.005657,True
359,1552,cat,cat,0.268090,0.270175,-0.002085,True
360,5204,cat,cat,0.268026,0.228873,0.039153,True
361,7437,cat,cat,0.268012,0.252170,0.015842,True
362,9453,cat,cat,0.267870,0.236151,0.031719,True
363,8279,cat,cat,0.267845,0.261951,0.005894,True
364,7915,cat,cat,0.267736,0.251732,0.016004,True
365,1894,cat,cat,0.267724,0.254214,0.013511,True
366,279,cat,cat,0.267717,0.237924,0.029793,True
367,1275,cat,cat,0.267668,0.239234,0.028434,True
368,5102,dog,cat,0.267660,0.279623,-0.011963,False
369,4527,cat,cat,0.267655,0.232152,0.035503,True
370,2401,cat,cat,0.267654,0.232614,0.035040,True
371,8316,dog,dog,0.267624,0.288632,-0.021008,False
372,332,cat,cat,0.267617,0.256153,0.011464,True
373,7598,cat,cat,0.267603,0.251417,0.016187,True
374,6709,cat,cat,0.267555,0.270244,-0.002689,True
375,646,cat,cat,0.267471,0.240953,0.026518,True
376,5368,cat,cat,0.267465,0.240293,0.027171,True
377,397,cat,cat,0.267428,0.245506,0.021922,True
378,8258,cat,cat,0.267426,0.247767,0.019659,True
379,4933,cat,cat,0.267418,0.245036,0.022381,True
380,115,cat,cat,0.267405,0.235546,0.031859,True
381,8204,cat,cat,0.267369,0.230607,0.036762,True
382,1759,dog,cat,0.267352,0.278881,-0.011530,False
383,5001,frog,cat,0.267339,0.263542,0.003797,False
384,5830,dog,cat,0.267312,0.259739,0.007573,False
385,9778,cat,cat,0.267307,0.242710,0.024596,True
386,4760,cat,cat,0.267294,0.252365,0.014929,True
387,7323,cat,cat,0.267291,0.248095,0.019195,True
388,4605,cat,cat,0.267278,0.251305,0.015973,True
389,9201,cat,cat,0.267255,0.242544,0.024711,True
390,4708,cat,cat,0.267203,0.237851,0.029352,True
391,7211,cat,cat,0.267196,0.238968,0.028228,True
392,8099,cat,cat,0.267102,0.241595,0.025507,True
393,1269,cat,cat,0.267069,0.243610,0.023459,True
394,453,cat,cat,0.267061,0.240447,0.026614,True
395,9947,cat,cat,0.267007,0.232777,0.034230,True
396,9748,cat,cat,0.267003,0.223857,0.043145,True
397,8858,frog,deer,0.266891,0.261553,0.005337,False
398,4970,bird,cat,0.266856,0.237917,0.028939,False
399,6687,cat,cat,0.266845,0.227705,0.039140,True
400,8136,cat,cat,0.266810,0.244342,0.022468,True
401,8745,dog,cat,0.266802,0.251246,0.015557,False
402,3508,cat,cat,0.266740,0.248678,0.018062,True
403,7723,cat,cat,0.266699,0.240271,0.026428,True
404,2698,cat,cat,0.266631,0.236041,0.030591,True
405,8677,cat,cat,0.266572,0.256756,0.009816,True
406,4862,cat,cat,0.266506,0.250543,0.015963,True
407,5530,cat,cat,0.266482,0.261206,0.005276,True
408,995,cat,cat,0.266453,0.273336,-0.006883,True
409,5752,cat,cat,0.266449,0.245330,0.021119,True
410,2410,cat,cat,0.266444,0.231771,0.034673,True
411,1112,cat,cat,0.266411,0.240445,0.025966,True
412,6068,dog,cat,0.266397,0.262568,0.003829,False
413,7291,cat,cat,0.266362,0.236383,0.029979,True
414,3887,bird,cat,0.266328,0.257874,0.008454,False
415,4804,cat,cat,0.266320,0.231676,0.034644,True
416,6587,cat,cat,0.266293,0.250217,0.016076,True
417,2565,cat,cat,0.266258,0.246584,0.019675,True
418,829,cat,cat,0.266237,0.241300,0.024937,True
419,8386,cat,cat,0.266186,0.260615,0.005571,True
420,4106,cat,cat,0.266168,0.233746,0.032422,True
421,9968,cat,cat,0.266158,0.251548,0.014610,True
422,9131,cat,cat,0.266144,0.238674,0.027470,True
423,6183,dog,cat,0.266127,0.255858,0.010268,False
424,1620,dog,dog,0.266096,0.298109,-0.032013,False
425,1595,cat,cat,0.266090,0.238257,0.027833,True
426,2285,cat,cat,0.266078,0.252607,0.013471,True
427,3617,cat,cat,0.266061,0.238374,0.027688,True
428,3435,frog,cat,0.266048,0.244588,0.021460,False
429,5349,cat,cat,0.266046,0.261989,0.004057,True
430,6138,cat,cat,0.266025,0.231215,0.034809,True
431,9745,cat,cat,0.265993,0.240073,0.025919,True
432,882,cat,cat,0.265947,0.254310,0.011637,True
433,3646,cat,cat,0.265863,0.257938,0.007925,True
434,3479,cat,cat,0.265838,0.257244,0.008594,True
435,950,cat,cat,0.265833,0.231964,0.033870,True
436,2230,cat,cat,0.265824,0.233304,0.032521,True
437,3254,cat,cat,0.265809,0.245377,0.020432,True
438,3202,dog,dog,0.265758,0.281115,-0.015357,False
439,8175,cat,cat,0.265716,0.243003,0.022713,True
440,3387,cat,cat,0.265711,0.250631,0.015080,True
441,671,cat,cat,0.265711,0.243578,0.022133,True
442,275,dog,cat,0.265710,0.265487,0.000223,False
443,6652,bird,cat,0.265698,0.251614,0.014084,False
444,7569,cat,cat,0.265685,0.257188,0.008496,True
445,6375,cat,cat,0.265682,0.241787,0.023895,True
446,6135,cat,cat,0.265678,0.263861,0.001818,True
447,3634,cat,cat,0.265666,0.257284,0.008381,True
448,3575,cat,cat,0.265652,0.229456,0.036196,True
449,925,dog,cat,0.265604,0.260794,0.004810,False
450,9022,cat,cat,0.265591,0.241680,0.023911,True
451,8299,cat,cat,0.265568,0.240555,0.025013,True
452,6333,cat,cat,0.265476,0.241839,0.023637,True
453,7417,cat,cat,0.265445,0.236454,0.028991,True
454,4499,cat,cat,0.265406,0.232274,0.033133,True
455,8343,cat,cat,0.265404,0.261038,0.004365,True
456,8885,cat,cat,0.265403,0.249600,0.015802,True
457,1936,cat,cat,0.265394,0.235879,0.029515,True
458,1033,cat,cat,0.265389,0.258265,0.007125,True
459,6769,cat,cat,0.265382,0.234638,0.030744,True
460,4352,cat,cat,0.265375,0.237703,0.027673,True
461,356,cat,cat,0.265342,0.252588,0.012754,True
462,5268,cat,cat,0.265341,0.248901,0.016440,True
463,8160,frog,cat,0.265303,0.253575,0.011729,False
464,3649,cat,cat,0.265301,0.234850,0.030451,True
465,2643,cat,cat,0.265283,0.253332,0.011951,True
466,2922,cat,cat,0.265226,0.243234,0.021993,True
467,4119,frog,cat,0.265123,0.257867,0.007256,False
468,9120,cat,cat,0.265101,0.229804,0.035298,True
469,5033,cat,cat,0.265100,0.237615,0.027485,True
470,3543,frog,frog,0.265023,0.259044,0.005980,False
471,432,cat,cat,0.264997,0.266590,-0.001593,True
472,8077,cat,cat,0.264960,0.238142,0.026818,True
473,2231,cat,cat,0.264902,0.259063,0.005839,True
474,3280,cat,cat,0.264883,0.234247,0.030636,True
475,6778,bird,cat,0.264824,0.252246,0.012579,False
476,9310,cat,cat,0.264798,0.230201,0.034597,True
477,5155,cat,cat,0.264789,0.247475,0.017314,True
478,5341,frog,cat,0.264734,0.248530,0.016204,False
479,1031,cat,cat,0.264726,0.229806,0.034920,True
480,1525,cat,cat,0.264719,0.266261,-0.001542,True
481,7736,cat,cat,0.264658,0.244942,0.019716,True
482,7579,cat,cat,0.264642,0.240673,0.023969,True
483,3901,cat,cat,0.264602,0.250504,0.014098,True
484,6865,cat,cat,0.264601,0.255170,0.009432,True
485,8786,cat,cat,0.264601,0.243532,0.021069,True
486,8295,cat,cat,0.264589,0.242983,0.021606,True
487,9300,dog,cat,0.264587,0.263454,0.001133,False
488,3230,cat,cat,0.264521,0.235379,0.029142,True
489,4346,cat,cat,0.264519,0.270451,-0.005932,True
490,5113,frog,deer,0.264492,0.260562,0.003930,False
491,256,cat,cat,0.264488,0.233883,0.030605,True
492,4982,cat,cat,0.264485,0.238418,0.026067,True
493,1861,cat,cat,0.264453,0.241581,0.022872,True
494,3513,cat,cat,0.264420,0.244356,0.020064,True
495,5886,bird,bird,0.264417,0.260106,0.004311,False
496,140,frog,cat,0.264384,0.254983,0.009402,False
497,434,cat,cat,0.264384,0.234681,0.029703,True
